Constructs	TotalFacsReads_R1	TotalFacsReads_R2	TotalFacsReads_R3	AverageFacsReads
YAL005C|Spar_1;116751;116688|WT	15.999	12.264	17.0	15.087666666666665
YBR269C|chrII;742597;742576|WT	116.641	286.438	222.369	208.48266666666666
YCL058C|Spar_3;25278;25246|WT	665.762	895.091	575.698	712.1836666666667
YDR231C|Spar_4;902052;902036|WT	141.495	109.727	125.703	125.64166666666667
YHR129C|chrVIII;364257;364153|364180,364168,ATG	245.641	504.668	520.577	423.6286666666667
YLR360W|chrXII;846028;846102|846073,846106,AAG,CGACGA	129.02	246.631	56.844	144.165
YGL136C|Spar_7;253382;253239|253277,AAG	798.004	477.836	466.005	580.6150000000001
YMR216C|chrXIII;701217;701039|701142,701091,ATG	3503.595	2810.854	2188.858	2834.4356666666667
YLR053C|chrXII;248599;248426|248511,AAG	2959.78	2477.99	1691.047	2376.272333333334
YCR047C|chrIII;211611;211545|WT	1721.291	1697.619	1106.983	1508.631
YEL068C|chrV;26006;25978|WT	2637.065	2843.842	1971.547	2484.1513333333332
YHR099W|chrVIII;302688;302760|302731,302760,ATG	2157.506	3750.751	1690.31	2532.8556666666664
YLR053C|Spar_12;230945;230766|230863,AAG	5239.448	4268.182	4673.404	4727.011333333334
YMR303C|Spar_13;822566;822511|WT	6367.745	4977.51	6494.852	5946.702333333334
YPL147W|chrXVI;273115;273254|273178,AAG	4911.172	5326.103	2527.19	4254.821666666667
YPR085C|chrXVI;709900;709828|709872,709833,AAG,CGACGA	6511.404	4727.199	4248.945	5162.516
YBL069W|chrII;90668;90740|90712,90740,ATG	4867.395	4753.407	4263.68	4628.160666666667
YKL095W|chrXI;262191;262276|262257,262284,ATG	301.207	258.429	164.994	241.54333333333332
YKL222C|Spar_11;9561;9438|9549,AAG	2.667	32.23	32.944	22.61366666666667
YML099W-A|chrXIII;74060;74228|74160,AAG	102.527	366.444	398.871	289.28066666666666
YBR022W|chrII;283718;283737|WT	1152.024	560.213	998.27	903.5023333333332
YDR006C|chrIV;461353;461247|461315,461249,ATG	424.12	698.47	444.162	522.2506666666667
YDR334W|chrIV;1135790;1135931|1135879,1135948,WT,CGACGA	119.235	12.129	195.642	109.002
YGR231C|Spar_7;918549;918487|WT	214.701	178.763	162.503	185.32233333333332
YHR048W|chrVIII;204475;204606|204586,AAG	242.541	147.524	170.301	186.78866666666667
YNL331C|Spar_14;4689;4536|4661,AAG	91.201	115.846	221.065	142.70399999999998
YOR090C|chrXV;492966;492841|492917,492905,AAG	113.922	59.121	56.845	76.62933333333334
YDR441C|chrIV;1345211;1345062|1345129,1345114,ATG	68.128	62.838	81.033	70.66633333333334
YGL136C|Spar_7;253382;253239|253377,AAG	88.885	97.089	134.12	106.698
YLR111W|Spar_12;352480;352633|352525,AAG	101.285	129.277	100.146	110.23599999999999
YER015W|Spar_5;186549;186614|186563,AAG	204.036	83.177	42.045	109.75266666666668
YKL222C|Spar_11;9586;9438|WT	8162.987	9260.655	7466.221	8296.621
YBR233W|chrII;683318;683427|683369,683399,WT,CGACGA	1598.624	1795.033	1277.45	1557.0356666666667
YKL186C|chrXI;93557;93465|93556,AAG	12330.852	10335.121	8711.081	10459.017999999998
YKR061W|Spar_11;572101;572186|WT	14986.091	16250.255	11327.447	14187.930999999999
YJR007W|chrX;450935;451019|450972,451008,WT,CGACGA	14488.712	13916.364	9492.666	12632.580666666667
YPL148C|chrXVI;272989;272815|272827,AAG	667.967	610.782	411.319	563.356
YEL034C-A|chrV;86374;86215|WT	1288.647	1672.118	622.046	1194.2703333333332
YHR048W|chrVIII;204475;204606|204554,AAG	32.533	5.45	9.558	15.847000000000001
YFR010W-A|chrVI;166583;166727|166702,AAG	135.994	52.779	117.652	102.14166666666667
YIR029W|Spar_9;386336;386475|WT	94.461	141.756	92.124	109.447
YAL063C-A|chrI;22819;22685|WT	154.064	135.086	97.972	129.04066666666665
YDR476C|Spar_4;1388868;1388818|WT	72.707	69.709	38.39	60.26866666666666
YER067C-A|chrV;292657;292563|292604,AAG	1222.358	1233.177	1432.152	1295.8956666666666
YJL174W|chrX;94976;95091|95016,95088,ATG	107.549	29.022	42.032	59.534333333333336
YMR290C|Spar_13;799763;799729|WT	14447.916	18283.568	10572.82	14434.767999999998
YOL043C|chrXV;249636;249534|WT	10615.962	9948.528	10126.749	10230.412999999999
YIR031C|Spar_9;390459;390334|390440,AAG	11205.547	12625.594	10465.502	11432.214333333332
YJL082W|chrX;281066;281184|WT	1567.152	1965.009	1398.61	1643.5903333333333
YKL165C-A|chrXI;136103;136023|136079,AAG	11260.696	11602.663	9371.014	10744.791
YOR342C|chrXV;967727;967625|967716,967680,AAG,CGACGA	17577.796	16434.512	16431.093	16814.467
YPL242C|chrXVI;95197;95109|WT	2216.427	1975.273	1920.699	2037.466333333333
YBL050W|Spar_2;120256;120322|WT	11303.988	12795.524	7976.444	10691.985333333332
YIR031C|chrIX;414803;414679|414776,414725,WT,CGACGA	1353.455	2185.003	994.75	1511.0693333333336
YMR075C-A|chrXIII;416174;416053|WT	2387.537	3041.528	1732.957	2387.3406666666665
YHR135C|chrVIII;374419;374310|374390,374375,AAG	1991.355	740.712	1417.34	1383.1356666666668
YNL211C|Spar_14;234076;234025|WT	629.238	326.204	229.311	394.91766666666666
YJR119C|chrX;646499;646490|WT	2922.293	2586.166	1711.739	2406.732666666667
YOL068C|Spar_15;186364;186252|186343,AAG	2263.316	2187.729	1994.958	2148.6676666666667
YPL164C|chrXVI;241548;241497|WT	1929.48	1392.162	1235.28	1518.974
YCR100C|chrIII;302311;302221|WT	245.617	170.131	148.409	188.0523333333333
YDR049W|chrIV;553161;553253|WT	235.919	218.724	186.22	213.621
YAL019W-A|chrI;114161;114249|114221,AAG	116.174	149.801	149.065	138.34666666666666
YBL004W|chrII;227549;227635|227591,227714,ATG	139.553	89.668	167.693	132.30466666666666
YCR027C|chrIII;168131;167999|WT	247.562	203.041	177.337	209.31333333333336
YDL177C|chrIV;141812;141721|WT	119.099	122.974	54.945	99.00600000000001
YKL045W|chrXI;353419;353492|353459,353483,ATG	369.572	142.909	169.329	227.26999999999998
YKL120W|chrXI;217222;217343|217245,217287,WT,CGACGA	217.27	328.944	397.763	314.65900000000005
YLR146C|chrXII;433767;433725|433766,433748,WT,CGACGA	40.019	27.991	33.061	33.690333333333335
YNL230C|chrXIV;218738;218662|218672,AAG	1014.514	730.629	590.878	778.6736666666667
YNL230C|chrXIV;218738;218662|218708,AAG	31.994	33.72	18.597	28.10366666666667
YPR023C|Spar_16;624547;624507|WT	989.788	1192.275	809.824	997.2956666666668
YML100W|chrXIII;70563;70623|70601,70623,ATG	258.356	346.628	0.923	201.96899999999997
YJR030C|chrX;486262;486196|486238,486214,ATG	313.838	271.583	211.887	265.76933333333335
YLR279W|chrXII;704137;704308|WT	416.774	404.907	396.599	406.0933333333333
YDR109C|Spar_4;667804;667636|667656,AAG	63.986	42.546	34.419	46.983666666666664
YER148W-A|Spar_5;471659;471801|471775,AAG	494.488	474.81	298.297	422.5316666666667
YLR053C|Spar_12;230945;230766|230931,AAG	18.098	70.341	11.881	33.44
YLR342W-A|Spar_12;769730;769879|WT	114.885	83.952	122.717	107.18466666666666
YDR109C|chrIV;675807;675667|675784,AAG	30.425	43.332	14.961	29.572666666666667
YLR157C|chrXII;474224;474057|474110,AAG	27.536	7.21	7.718	14.154666666666666
YLR300W|chrXII;728856;728954|728892,728913,WT,CGACGA	1506.696	1255.025	327.998	1029.9063333333334
YHL027W|chrVIII;51012;51110|51071,51089,AAG,CGACGA	14.281	9.521	10.794	11.532000000000002
YKL026C|chrXI;389994;389883|389960,389921,ATG	12.721	13.911	13.503	13.378333333333332
YLR242C|Spar_12;582669;582606|WT	7.187	30.014	40.429	25.876666666666665
YMR212C|chrXIII;693185;693043|WT	29.9	39.198	12.675	27.257666666666665
