Construct	RawFACS	NormFACS	RawDNA	NormDNA	RawRNA	NormRNA	TxnLevl	YFP2mCherry	NonZeroBins	TotalFacsReads
YBR105C|chrII;452009;451969|WT	0;1;0;8;207;136;8;8;0;155;243	0.000;1.000;0.000;4.165;88.316;91.406;5.060;7.990;0.000	155	8.649	243	17.103	1.977	0.657	6	197.937
YDR340W|chrIV;1150796;1150880|WT	5191;586;180;2;361;2;3;1;0;2672;1268	2834.678;586.000;120.556;1.041;154.019;1.344;1.898;0.999;0.000	2672	149.099	1268	89.247	0.599	0.062	8	3700.535
YLR342W-A|Spar_12;769730;769879|WT	1358;1;0;0;2;1;1;0;0;287;0	741.571;1.000;0.000;0.000;0.853;0.672;0.633;0.000;0.000	287	16.015	0	0.000	0.000	0.022	5	744.729
YIL040W|Spar_9;252298;252307|WT	0;0;0;0;0;0;27;0;0;1;8	0.000;0.000;0.000;0.000;0.000;0.000;17.079;0.000;0.000	1	0.056	8	0.563	10.054	0.890	1	17.079
YER087C-B|chrV;332873;332830|WT	1;1;0;0;86;297;63;12;8;92;204	0.546;1.000;0.000;0.000;36.691;199.614;39.851;11.985;3.555	92	5.134	204	14.358	2.797	0.730	7	293.242
YNL149C|chrXIV;349789;349756|WT	0;0;72;123;14;2;0;1;0;107;153	0.000;0.000;48.222;64.037;5.973;1.344;0.000;0.999;0.000	107	5.971	153	10.769	1.804	0.376	5	120.575
YKL197C|chrXI;74022;73865|WT	1;96;0;0;0;0;1;1;0;157;0	0.546;96.000;0.000;0.000;0.000;0.000;0.633;0.999;0.000	157	8.761	0	0.000	0.000	0.094	4	98.178
YOR291W|chrXV;861031;861174|861062,861077,WT,CGACGA	0;0;0;0;0;0;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	TooLow	0	0
YNL186W|chrXIV;289344;289497|289393,289423,WT,CGACGA	149;26;3213;811;52;3;1;1;2;1432;541	81.365;26.000;2151.921;422.224;22.186;2.016;0.633;0.999;0.889	1432	79.906	541	38.078	0.477	0.293	9	2708.233
YHR186C|chrVIII;480785;480672|480698,AAG	0;30;399;1443;0;0;1;1;1;370;252	0.000;30.000;267.232;751.257;0.000;0.000;0.633;0.999;0.444	370	20.646	252	17.737	0.859	0.370	6	1050.565
YKL205W|Spar_11;53613;53653|WT	1;0;1;0;30;130;209;5;31;140;619	0.546;0.000;0.670;0.000;12.799;87.373;132.205;4.994;13.777	140	7.812	619	43.568	5.577	0.816	7	252.364
YJL194W|Spar_10;60758;60796|60791,AAG	0;0;16;129;5;2;0;0;0;85;212	0.000;0.000;10.716;67.160;2.133;1.344;0.000;0.000;0.000	85	4.743	212	14.921	3.146	0.408	4	81.353
YIL126W|chrIX;117921;117991|117939,117954,AAG	414;0;278;1975;892;259;4;0;0;1716;1982	226.075;0.000;186.192;1028.228;380.567;174.074;2.530;0.000;0.000	1716	95.753	1982	139.501	1.457	0.415	6	1997.666
YHR129C|chrVIII;364217;364153|364195,364168,AAG,CGACGA	35;1;1216;127;3;0;0;2;0;689;1488	19.113;1.000;814.421;66.119;1.280;0.000;0.000;1.997;0.000	689	38.446	1488	104.731	2.724	0.283	6	903.93
YBR127C|chrII;492886;492822|WT	2;0;0;1;0;37;407;333;833;336;1114	1.092;0.000;0.000;0.521;0.000;24.868;257.452;332.577;370.207	336	18.749	1114	78.408	4.182	0.946	6	986.717
YPR059C|chrXVI;674792;674700|WT	443;0;0;1;379;421;1;0;1;260;288	241.911;0.000;0.000;0.521;161.698;282.955;0.633;0.000;0.444	260	14.508	288	20.271	1.397	0.440	6	688.162
YAR015W|chrI;169285;169374|169336,169369,AAG,CGACGA	8;0;5;42;481;380;2705;427;294;1310;1717	4.369;0.000;3.349;21.866;205.216;255.399;1711.074;426.457;130.661	1310	73.098	1717	120.849	1.653	0.860	8	2758.391
YJR035W|Spar_10;471868;471887|WT	0;0;0;0;0;0;27;10;31;37;163	0.000;0.000;0.000;0.000;0.000;0.000;17.079;9.987;13.777	37	2.065	163	11.473	5.556	0.942	3	40.843
YOR258W|chrXV;811662;811670|WT	0;0;0;0;14;0;11;10;3;1;55	0.000;0.000;0.000;0.000;5.973;0.000;6.958;9.987;1.333	1	0.056	55	3.871	69.125	0.851	4	24.251
YGR094W|Spar_7;653597;653614|653610,AAG	0;0;0;0;0;0;5;0;0;3;0	0.000;0.000;0.000;0.000;0.000;0.000;3.163;0.000;0.000	3	0.167	0	0.000	0.000	0.890	1	3.163
YGL013C|Spar_7;469030;468891|WT	1;0;73;1774;1;0;1;0;1;549;0	0.546;0.000;48.892;923.583;0.427;0.000;0.633;0.000;0.444	549	30.634	0	0.000	0.000	0.407	6	974.525
YGR294W|chrVII;1080153;1080305|WT	551;40;57;1;0;0;1;0;2;533;247	300.888;40.000;38.176;0.521;0.000;0.000;0.633;0.000;0.889	533	29.742	247	17.385	0.585	0.058	6	381.107
YNL155W|chrXIV;342411;342515|WT	1;2;1;2;3;0;898;423;484;511;736	0.546;2.000;0.670;1.041;1.280;0.000;568.039;422.462;215.102	511	28.514	736	51.803	1.817	0.928	8	1211.14
YER033C|Spar_5;222806;222629|WT	0;1;1;699;1795;739;140;78;10;645;744	0.000;1.000;0.670;363.915;765.828;496.683;88.558;77.901;4.444	645	35.991	744	52.366	1.455	0.616	8	1798.999
YLR421C|Spar_12;916172;916137|WT	0;0;0;0;0;24;66;19;0;20;0	0.000;0.000;0.000;0.000;0.000;16.130;41.749;18.976;0.000	20	1.116	0	0.000	0.000	0.868	3	76.855
YPR088C|Spar_16;729502;729479|WT	0;0;0;0;0;0;61;17;27;26;73	0.000;0.000;0.000;0.000;0.000;0.000;38.586;16.978;11.999	26	1.451	73	5.138	3.541	0.926	3	67.563
YJL063C|Spar_10;305499;305457|WT	1;0;0;1;123;158;136;27;40;165;602	0.546;0.000;0.000;0.521;52.477;106.192;86.028;26.966;17.777	165	9.207	602	42.371	4.602	0.779	7	290.507
YHL020C|chrVIII;67540;67456|67510,67474,WT,CGACGA	18617;5157;458;286;155;23;127;7;25;12805;6131	10166.289;5157.000;306.747;148.898;66.130;15.458;80.335;6.991;11.111	12805	714.524	6131	431.523	0.604	0.055	9	15958.959
YBR268W|chrII;741268;741298|WT	0;0;0;0;3;0;0;0;0;27;92	0.000;0.000;0.000;0.000;1.280;0.000;0.000;0.000;0.000	27	1.507	92	6.475	4.297	0.581	1	1.28
